start_station_id,start_station_name,start_date,subscriber_type,landmark,name
22,Redwood City Caltrain Station,2016-04-01 07:57:00.000000 UTC,Subscriber,Redwood City,Redwood City Caltrain Station
83,Mezes,2016-04-01 08:16:00.000000 UTC,Subscriber,Redwood City,Mezes Park
22,Redwood City Caltrain Station,2016-04-01 09:28:00.000000 UTC,Subscriber,Redwood City,Redwood City Caltrain Station
25,Stanford in Redwood City,2016-04-01 16:43:00.000000 UTC,Subscriber,Redwood City,Stanford in Redwood City
26,Kaiser Hospital,2016-04-01 17:20:00.000000 UTC,Subscriber,Redwood City,Redwood City Medical Center
22,Redwood City Caltrain Station,2016-04-04 07:58:00.000000 UTC,Subscriber,Redwood City,Redwood City Caltrain Station
83,Mezes,2016-04-04 08:19:00.000000 UTC,Subscriber,Redwood City,Mezes Park
22,Redwood City Caltrain Station,2016-04-04 11:00:00.000000 UTC,Subscriber,Redwood City,Redwood City Caltrain Station
21,Sequoia Hospital,2016-04-04 13:28:00.000000 UTC,Subscriber,Redwood City,Franklin at Maple
25,Stanford in Redwood City,2016-04-04 16:29:00.000000 UTC,Subscriber,Redwood City,Stanford in Redwood City
25,Stanford in Redwood City,2016-04-04 16:29:00.000000 UTC,Subscriber,Redwood City,Stanford in Redwood City
25,Stanford in Redwood City,2016-04-04 17:07:00.000000 UTC,Subscriber,Redwood City,Stanford in Redwood City
26,Kaiser Hospital,2016-04-04 18:13:00.000000 UTC,Subscriber,Redwood City,Redwood City Medical Center
22,Redwood City Caltrain Station,2016-04-05 07:57:00.000000 UTC,Subscriber,Redwood City,Redwood City Caltrain Station
22,Redwood City Caltrain Station,2016-04-05 08:26:00.000000 UTC,Subscriber,Redwood City,Redwood City Caltrain Station
25,Stanford in Redwood City,2016-04-05 10:16:00.000000 UTC,Subscriber,Redwood City,Stanford in Redwood City
25,Stanford in Redwood City,2016-04-05 17:13:00.000000 UTC,Subscriber,Redwood City,Stanford in Redwood City
25,Stanford in Redwood City,2016-04-05 18:12:00.000000 UTC,Subscriber,Redwood City,Stanford in Redwood City
22,Redwood City Caltrain Station,2016-04-06 07:57:00.000000 UTC,Subscriber,Redwood City,Redwood City Caltrain Station
25,Stanford in Redwood City,2016-04-06 16:33:00.000000 UTC,Subscriber,Redwood City,Stanford in Redwood City
